filename,fold,target,category,esc10,src_file,take
1-12653-A-15.wav,1,15,water_drops,False,12653,A
1-12654-A-15.wav,1,15,water_drops,False,12654,A
1-12654-B-15.wav,1,15,water_drops,False,12654,B
1-137-A-32.wav,1,32,typing,False,137,A
1-16746-A-15.wav,1,15,water_drops,False,16746,A
1-17295-A-29.wav,1,29,swallowing,False,17295,A
1-18631-A-23.wav,1,23,human_breathing,False,18631,A
1-19111-A-24.wav,1,24,clearing_throat,False,19111,A
1-19118-A-24.wav,1,24,clearing_throat,False,19118,A
1-23094-A-15.wav,1,15,water_drops,False,23094,A
1-23094-B-15.wav,1,15,water_drops,False,23094,B
1-30709-A-23.wav,1,23,human_breathing,False,30709,A
1-30709-B-23.wav,1,23,human_breathing,False,30709,B
1-30709-C-23.wav,1,23,human_breathing,False,30709,C
1-30830-A-24.wav,1,24,clearing_throat,False,30830,A
1-32579-A-29.wav,1,29,swallowing,False,32579,A
1-36393-A-23.wav,1,23,human_breathing,False,36393,A
1-36397-A-23.wav,1,23,human_breathing,False,36397,A
1-36400-A-23.wav,1,23,human_breathing,False,36400,A
1-36402-A-23.wav,1,23,human_breathing,False,36402,A
1-37226-A-29.wav,1,29,swallowing,False,37226,A
1-50623-A-15.wav,1,15,water_drops,False,50623,A
1-52266-A-24.wav,1,24,clearing_throat,False,52266,A
1-52323-A-24.wav,1,24,clearing_throat,False,52323,A
1-53501-A-32.wav,1,32,typing,False,53501,A
1-53663-A-24.wav,1,24,clearing_throat,False,53663,A
1-56270-A-29.wav,1,29,swallowing,False,56270,A
1-58792-A-24.wav,1,24,clearing_throat,False,58792,A
1-61212-A-32.wav,1,32,typing,False,61212,A
1-62594-A-32.wav,1,32,typing,False,62594,A
1-63679-A-24.wav,1,24,clearing_throat,False,63679,A
1-67230-A-29.wav,1,29,swallowing,False,67230,A
1-79146-A-29.wav,1,29,swallowing,False,79146,A
1-79711-A-32.wav,1,32,typing,False,79711,A
1-84393-A-32.wav,1,32,typing,False,84393,A
1-85909-A-29.wav,1,29,swallowing,False,85909,A
1-87565-A-29.wav,1,29,swallowing,False,87565,A
1-90797-A-15.wav,1,15,water_drops,False,90797,A
1-94231-A-32.wav,1,32,typing,False,94231,A
1-94231-B-32.wav,1,32,typing,False,94231,B
2-102581-A-29.wav,2,29,swallowing,False,102581,A
2-102581-B-29.wav,2,29,swallowing,False,102581,B
2-104168-A-32.wav,2,32,typing,False,104168,A
2-108017-A-24.wav,2,24,clearing_throat,False,108017,A
2-109316-A-32.wav,2,32,typing,False,109316,A
2-118459-A-32.wav,2,32,typing,False,118459,A
2-118459-B-32.wav,2,32,typing,False,118459,B
2-118817-A-32.wav,2,32,typing,False,118817,A
2-120333-A-32.wav,2,32,typing,False,120333,A
2-121978-A-29.wav,2,29,swallowing,False,121978,A
2-122763-A-29.wav,2,29,swallowing,False,122763,A
2-122763-B-29.wav,2,29,swallowing,False,122763,B
2-123896-A-24.wav,2,24,clearing_throat,False,123896,A
2-124564-A-15.wav,2,15,water_drops,False,124564,A
2-126756-A-29.wav,2,29,swallowing,False,126756,A
2-139748-A-15.wav,2,15,water_drops,False,139748,A
2-139748-B-15.wav,2,15,water_drops,False,139748,B
2-139749-A-15.wav,2,15,water_drops,False,139749,A
2-50774-A-23.wav,2,23,human_breathing,False,50774,A
2-54961-A-23.wav,2,23,human_breathing,False,54961,A
2-54962-A-23.wav,2,23,human_breathing,False,54962,A
2-64962-A-15.wav,2,15,water_drops,False,64962,A
2-64963-A-15.wav,2,15,water_drops,False,64963,A
2-66205-A-23.wav,2,23,human_breathing,False,66205,A
2-68595-A-15.wav,2,15,water_drops,False,68595,A
2-68595-B-15.wav,2,15,water_drops,False,68595,B
2-82455-A-23.wav,2,23,human_breathing,False,82455,A
2-84965-A-23.wav,2,23,human_breathing,False,84965,A
2-85292-A-24.wav,2,24,clearing_throat,False,85292,A
2-87412-A-24.wav,2,24,clearing_throat,False,87412,A
2-87794-A-24.wav,2,24,clearing_throat,False,87794,A
2-87795-A-24.wav,2,24,clearing_throat,False,87795,A
2-87799-A-24.wav,2,24,clearing_throat,False,87799,A
2-92978-A-29.wav,2,29,swallowing,False,92978,A
2-94807-A-29.wav,2,29,swallowing,False,94807,A
2-95567-A-23.wav,2,23,human_breathing,False,95567,A
2-98392-A-23.wav,2,23,human_breathing,False,98392,A
2-98676-A-24.wav,2,24,clearing_throat,False,98676,A
2-99795-A-32.wav,2,32,typing,False,99795,A
2-99796-A-32.wav,2,32,typing,False,99796,A
3-108160-A-23.wav,3,23,human_breathing,False,108160,A
3-112557-A-23.wav,3,23,human_breathing,False,112557,A
3-112557-B-23.wav,3,23,human_breathing,False,112557,B
3-125418-A-24.wav,3,24,clearing_throat,False,125418,A
3-125548-A-32.wav,3,32,typing,False,125548,A
3-132601-A-24.wav,3,24,clearing_throat,False,132601,A
3-132830-A-32.wav,3,32,typing,False,132830,A
3-133977-A-29.wav,3,29,swallowing,False,133977,A
3-140323-A-29.wav,3,29,swallowing,False,140323,A
3-142604-A-24.wav,3,24,clearing_throat,False,142604,A
3-144106-A-32.wav,3,32,typing,False,144106,A
3-144120-A-32.wav,3,32,typing,False,144120,A
3-144128-A-23.wav,3,23,human_breathing,False,144128,A
3-144128-B-23.wav,3,23,human_breathing,False,144128,B
3-144253-A-29.wav,3,29,swallowing,False,144253,A
3-144259-A-29.wav,3,29,swallowing,False,144259,A
3-145387-A-29.wav,3,29,swallowing,False,145387,A
3-145487-A-24.wav,3,24,clearing_throat,False,145487,A
3-146873-A-24.wav,3,24,clearing_throat,False,146873,A
3-149042-A-24.wav,3,24,clearing_throat,False,149042,A
3-151206-A-23.wav,3,23,human_breathing,False,151206,A
3-151212-A-24.wav,3,24,clearing_throat,False,151212,A
3-151213-A-24.wav,3,24,clearing_throat,False,151213,A
3-153444-A-32.wav,3,32,typing,False,153444,A
3-154781-A-32.wav,3,32,typing,False,154781,A
3-155568-A-32.wav,3,32,typing,False,155568,A
3-155570-A-32.wav,3,32,typing,False,155570,A
3-156907-A-15.wav,3,15,water_drops,False,156907,A
3-160119-A-15.wav,3,15,water_drops,False,160119,A
3-164592-A-15.wav,3,15,water_drops,False,164592,A
3-164593-A-15.wav,3,15,water_drops,False,164593,A
3-164594-A-15.wav,3,15,water_drops,False,164594,A
3-164595-A-15.wav,3,15,water_drops,False,164595,A
3-166125-A-23.wav,3,23,human_breathing,False,166125,A
3-166125-B-23.wav,3,23,human_breathing,False,166125,B
3-166324-A-15.wav,3,15,water_drops,False,166324,A
3-166326-A-15.wav,3,15,water_drops,False,166326,A
3-169907-A-29.wav,3,29,swallowing,False,169907,A
3-174866-A-29.wav,3,29,swallowing,False,174866,A
3-185456-A-29.wav,3,29,swallowing,False,185456,A
4-152995-A-24.wav,4,24,clearing_throat,False,152995,A
4-154443-A-24.wav,4,24,clearing_throat,False,154443,A
4-155650-A-24.wav,4,24,clearing_throat,False,155650,A
4-155650-B-24.wav,4,24,clearing_throat,False,155650,B
4-157296-A-24.wav,4,24,clearing_throat,False,157296,A
4-158653-A-32.wav,4,32,typing,False,158653,A
4-167155-A-32.wav,4,32,typing,False,167155,A
4-168155-A-15.wav,4,15,water_drops,False,168155,A
4-169726-A-24.wav,4,24,clearing_throat,False,169726,A
4-171396-A-24.wav,4,24,clearing_throat,False,171396,A
4-171706-A-23.wav,4,23,human_breathing,False,171706,A
4-172180-A-32.wav,4,32,typing,False,172180,A
4-172742-A-32.wav,4,32,typing,False,172742,A
4-174797-A-15.wav,4,15,water_drops,False,174797,A
4-176914-A-23.wav,4,23,human_breathing,False,176914,A
4-177243-A-32.wav,4,32,typing,False,177243,A
4-177835-A-24.wav,4,24,clearing_throat,False,177835,A
4-181707-A-32.wav,4,32,typing,False,181707,A
4-181708-A-32.wav,4,32,typing,False,181708,A
4-185613-A-32.wav,4,32,typing,False,185613,A
4-188191-A-29.wav,4,29,swallowing,False,188191,A
4-188191-B-29.wav,4,29,swallowing,False,188191,B
4-188191-C-29.wav,4,29,swallowing,False,188191,C
4-188293-A-15.wav,4,15,water_drops,False,188293,A
4-188293-B-15.wav,4,15,water_drops,False,188293,B
4-188595-A-29.wav,4,29,swallowing,False,188595,A
4-194808-A-29.wav,4,29,swallowing,False,194808,A
4-197871-A-15.wav,4,15,water_drops,False,197871,A
4-198025-A-23.wav,4,23,human_breathing,False,198025,A
4-204202-A-29.wav,4,29,swallowing,False,204202,A
4-205526-A-23.wav,4,23,human_breathing,False,205526,A
4-205526-B-23.wav,4,23,human_breathing,False,205526,B
4-207116-A-23.wav,4,23,human_breathing,False,207116,A
4-210000-A-23.wav,4,23,human_breathing,False,210000,A
4-210000-B-23.wav,4,23,human_breathing,False,210000,B
4-210593-A-29.wav,4,29,swallowing,False,210593,A
4-212604-A-15.wav,4,15,water_drops,False,212604,A
4-212604-B-15.wav,4,15,water_drops,False,212604,B
4-212604-C-15.wav,4,15,water_drops,False,212604,C
4-213193-A-29.wav,4,29,swallowing,False,213193,A
5-178997-A-24.wav,5,24,clearing_throat,False,178997,A
5-184871-A-24.wav,5,24,clearing_throat,False,184871,A
5-204114-A-29.wav,5,29,swallowing,False,204114,A
5-204604-A-24.wav,5,24,clearing_throat,False,204604,A
5-205090-A-32.wav,5,32,typing,False,205090,A
5-207681-A-24.wav,5,24,clearing_throat,False,207681,A
5-207836-A-29.wav,5,29,swallowing,False,207836,A
5-207836-B-29.wav,5,29,swallowing,False,207836,B
5-207836-C-29.wav,5,29,swallowing,False,207836,C
5-207836-D-29.wav,5,29,swallowing,False,207836,D
5-208761-A-24.wav,5,24,clearing_throat,False,208761,A
5-209719-A-24.wav,5,24,clearing_throat,False,209719,A
5-211197-A-24.wav,5,24,clearing_throat,False,211197,A
5-213293-A-23.wav,5,23,human_breathing,False,213293,A
5-215005-A-32.wav,5,32,typing,False,215005,A
5-216131-A-32.wav,5,32,typing,False,216131,A
5-222894-A-32.wav,5,32,typing,False,222894,A
5-223099-A-32.wav,5,32,typing,False,223099,A
5-223099-B-32.wav,5,32,typing,False,223099,B
5-232816-A-23.wav,5,23,human_breathing,False,232816,A
5-233260-A-23.wav,5,23,human_breathing,False,233260,A
5-234335-A-23.wav,5,23,human_breathing,False,234335,A
5-234923-A-32.wav,5,32,typing,False,234923,A
5-235593-A-23.wav,5,23,human_breathing,False,235593,A
5-238492-A-23.wav,5,23,human_breathing,False,238492,A
5-241846-A-15.wav,5,15,water_drops,False,241846,A
5-243036-A-29.wav,5,29,swallowing,False,243036,A
5-243635-A-29.wav,5,29,swallowing,False,243635,A
5-244178-A-32.wav,5,32,typing,False,244178,A
5-251489-A-24.wav,5,24,clearing_throat,False,251489,A
5-254832-A-15.wav,5,15,water_drops,False,254832,A
5-254832-B-15.wav,5,15,water_drops,False,254832,B
5-257349-A-15.wav,5,15,water_drops,False,257349,A
5-259180-A-15.wav,5,15,water_drops,False,259180,A
5-259640-A-29.wav,5,29,swallowing,False,259640,A
5-260164-A-23.wav,5,23,human_breathing,False,260164,A
5-261433-A-15.wav,5,15,water_drops,False,261433,A
5-261439-A-15.wav,5,15,water_drops,False,261439,A
5-261464-A-23.wav,5,23,human_breathing,False,261464,A
5-262641-A-15.wav,5,15,water_drops,False,262641,A
